candidate,route,fold,train_size,valid_size,mae,rmse,wape,r2,error_gt_10pct_rate
GPR__direct,direct,2,186,47,385.59896204888446,674.7156920294691,0.10308854184824941,0.8041572232656885,0.3829787234042553
GPR__direct,direct,3,187,46,267.6171682947708,367.83822029929814,0.07255211544343677,0.7665011728619907,0.2608695652173913
GPR__direct,direct,4,187,46,278.70978421022477,395.69385327549446,0.07702466102258536,0.7856338929103719,0.2826086956521739
GPR__unit,unit,0,186,47,250.07215469675975,331.55595847170235,0.07150968990509848,0.7569762422900692,0.2553191489361702
GPR__unit,unit,1,186,47,326.45704791543386,506.8633024527029,0.09091426408550897,0.7201333459265191,0.3191489361702128
GPR__unit,unit,2,186,47,396.21791368917275,710.3897964714952,0.10592748164917037,0.7829002284708533,0.40425531914893614
GPR__unit,unit,3,187,46,276.17738444946355,405.6798894661107,0.07487282526423558,0.7159871718560422,0.2826086956521739
GPR__unit,unit,4,187,46,294.3271661357701,394.99031557290994,0.08134070450948368,0.7863954946596552,0.30434782608695654
CatBoost__direct,direct,0,186,47,367.17825266086817,450.12513347235495,0.10499690787050592,0.5520788352158843,0.44680851063829785
CatBoost__direct,direct,1,186,47,462.8434579308851,690.9214732901116,0.12889619823885348,0.47997186754330523,0.5319148936170213
CatBoost__direct,direct,2,186,47,487.50850830485393,1033.7067201085417,0.1303337047193381,0.5403147001202693,0.40425531914893614
CatBoost__direct,direct,3,187,46,332.42987436447567,431.130809232752,0.09012310673272263,0.6792334178749434,0.3695652173913043
CatBoost__direct,direct,4,187,46,451.7163591128871,551.1618652855198,0.12483702191374355,0.5840933774777219,0.5434782608695652
CatBoost__unit,unit,0,186,47,355.08405158729613,474.86540121636364,0.10153849575953028,0.5014874301052652,0.3829787234042553
CatBoost__unit,unit,1,186,47,523.482662204789,880.6141924226769,0.14578346921828383,0.155225455480567,0.425531914893617
CatBoost__unit,unit,2,186,47,567.6317185047765,1145.9719974440668,0.15175436639286113,0.4350448816852306,0.5531914893617021
CatBoost__unit,unit,3,187,46,367.7896490409174,486.6161836645144,0.09970928713634078,0.5913569708667676,0.34782608695652173
CatBoost__unit,unit,4,187,46,518.5383130215945,646.1246846033135,0.1433040390056257,0.4284290080446649,0.6304347826086957
LightGBM__direct,direct,0,186,47,388.8944786325988,493.35888097334504,0.11120679792016215,0.46190251991690656,0.46808510638297873
LightGBM__direct,direct,1,186,47,378.09952979802677,533.1573524497039,0.10529605876840818,0.6903434554327483,0.44680851063829785
LightGBM__direct,direct,2,186,47,474.0331097028611,1121.3968749065307,0.12673110375453764,0.4590157523512436,0.3404255319148936
LightGBM__direct,direct,3,187,46,301.66734023336574,398.50770004029573,0.08178325715642559,0.7259407702966604,0.2826086956521739
LightGBM__direct,direct,4,187,46,315.1256215404396,435.8156747838035,0.08708859736468995,0.7399581747154111,0.3695652173913043
LightGBM__unit,unit,0,186,47,345.8698523767057,459.4595553228828,0.09890363811585492,0.5333087768630762,0.44680851063829785
LightGBM__unit,unit,1,186,47,439.3590585740069,706.0469521363844,0.12235608247583324,0.4569539950153796,0.425531914893617
LightGBM__unit,unit,2,186,47,512.6841034000347,1207.663688029117,0.13706431253719606,0.3725805858612826,0.5106382978723404
LightGBM__unit,unit,3,187,46,378.9754524641548,600.2742147074991,0.10274180446869821,0.37817185567228384,0.41304347826086957
LightGBM__unit,unit,4,187,46,397.1447484004504,556.1950715325424,0.10975552835049131,0.5764625809965892,0.43478260869565216
Ridge+LGBMResidual__direct,direct,0,186,47,266.97751240110233,341.1890393621329,0.0763438822150669,0.742649391365874,0.3617021276595745
Ridge+LGBMResidual__direct,direct,1,186,47,318.18378277392657,438.32790933656963,0.08861026171604788,0.7907007336720034,0.2765957446808511
Ridge+LGBMResidual__direct,direct,2,186,47,362.67707122969557,504.60217050603654,0.09696045403286936,0.8904621619230316,0.3829787234042553
Ridge+LGBMResidual__direct,direct,3,187,46,275.0806596173625,373.54933712545966,0.07457549864974634,0.7591942026769685,0.2826086956521739
Ridge+LGBMResidual__direct,direct,4,187,46,290.401074735536,404.7986219494453,0.08025568390246178,0.7756554291781812,0.2608695652173913
Ridge+LGBMResidual__unit,unit,0,186,47,318.5928119463373,402.0862417603323,0.09110359854299738,0.6425844168551287,0.3191489361702128
Ridge+LGBMResidual__unit,unit,1,186,47,344.5168019230803,512.9324421010174,0.0959436829804437,0.7133910193611237,0.2978723404255319
Ridge+LGBMResidual__unit,unit,2,186,47,356.20204521057235,502.0575627107761,0.09522937833911202,0.891564131200907,0.425531914893617
Ridge+LGBMResidual__unit,unit,3,187,46,302.663679958844,468.7098178612915,0.08205336895547193,0.6208779017964612,0.2826086956521739
Ridge+LGBMResidual__unit,unit,4,187,46,290.33578092776804,384.02679851030666,0.08023763920616792,0.7980887224162343,0.2391304347826087
Huber+LGBMResidual__direct,direct,0,186,47,243.82094678568248,312.3858452052063,0.06972211807489813,0.7842664195225677,0.23404255319148937
Huber+LGBMResidual__direct,direct,1,186,47,375.98389612106143,568.089596133821,0.10470688086569785,0.6484370261990402,0.40425531914893614
Huber+LGBMResidual__direct,direct,2,186,47,354.5065236968497,513.5678819071863,0.09477608655742965,0.8865350705102777,0.3404255319148936
Huber+LGBMResidual__direct,direct,3,187,46,305.40360184297907,467.51700547163415,0.08279617305175026,0.6228050904019116,0.30434782608695654
Huber+LGBMResidual__direct,direct,4,187,46,313.4322203192238,442.2949667074984,0.08662060642060096,0.7321685900695388,0.391304347826087
Huber+LGBMResidual__unit,unit,0,186,47,311.0632983528209,398.438611203361,0.08895048724253495,0.6490397806515101,0.3829787234042553
Huber+LGBMResidual__unit,unit,1,186,47,398.9014300301786,617.1841615923133,0.11108913158843858,0.5850469100720285,0.40425531914893614
Huber+LGBMResidual__unit,unit,2,186,47,374.4412285005618,538.1034264432438,0.10010556057745942,0.8754345929482162,0.40425531914893614
Huber+LGBMResidual__unit,unit,3,187,46,358.3853523710835,675.1795733375076,0.09715974361489306,0.21329920746525433,0.34782608695652173
Huber+LGBMResidual__unit,unit,4,187,46,324.4973648731721,432.99541982284615,0.0896785866449009,0.7433128558257849,0.391304347826087
OOFEnsemble,mixed_total,0,186,47,291.071095148302,351.25344955225177,0.08323359223913701,0.727242781153673,0.3191489361702128
OOFEnsemble,mixed_total,1,186,47,297.01135621072933,426.0148255024575,0.08271400187975793,0.8022944395947068,0.23404255319148937
OOFEnsemble,mixed_total,2,186,47,342.51454307241204,481.8874069547692,0.09157007223136149,0.9001019316157268,0.3617021276595745
OOFEnsemble,mixed_total,3,187,46,262.390462201777,349.84367033962826,0.07113513391618993,0.7887877809136956,0.2608695652173913
OOFEnsemble,mixed_total,4,187,46,322.94261942200785,420.2742404936219,0.08924891482088626,0.7581739638769129,0.391304347826087
