optimizer,seed,best_objective,feasible_rate,unique_candidates,model,total_weight
random_search,7,3163.996385026896,1.0,5000,LightGBM,87779.75
genetic_algorithm,7,3093.6884455443055,1.0,3896,LightGBM,87779.75
random_search,8,3094.279835348022,1.0,5000,LightGBM,87779.75
genetic_algorithm,8,2863.041060208758,1.0,3931,LightGBM,87779.75
random_search,9,3118.1363372730316,1.0,5000,LightGBM,87779.75
genetic_algorithm,9,3093.6884455443055,1.0,3941,LightGBM,87779.75
random_search,0,3207.0793449924786,1.0,5000,LightGBM,92210.5
genetic_algorithm,0,3196.218717662546,1.0,3836,LightGBM,92210.5
random_search,1,3117.83698730113,1.0,5000,LightGBM,92210.5
genetic_algorithm,1,3196.218717662546,1.0,3921,LightGBM,92210.5
random_search,2,3221.1085393649855,1.0,5000,LightGBM,92210.5
genetic_algorithm,2,3197.2859414428403,1.0,3917,LightGBM,92210.5
random_search,3,3118.5942420478086,1.0,5000,LightGBM,92210.5
genetic_algorithm,3,3220.4448678009485,1.0,3836,LightGBM,92210.5
random_search,4,3151.3027742280174,1.0,5000,LightGBM,92210.5
genetic_algorithm,4,3196.218717662546,1.0,3904,LightGBM,92210.5
random_search,5,3199.2561886831686,1.0,5000,LightGBM,92210.5
genetic_algorithm,5,2948.277218404152,1.0,3867,LightGBM,92210.5
random_search,6,3142.4145062586454,1.0,5000,LightGBM,92210.5
genetic_algorithm,6,3202.6695238218545,1.0,3924,LightGBM,92210.5
random_search,7,3197.657462811511,1.0,5000,LightGBM,92210.5
genetic_algorithm,7,2948.277218404152,1.0,3920,LightGBM,92210.5
random_search,8,3203.955935695909,1.0,5000,LightGBM,92210.5
genetic_algorithm,8,3196.218717662546,1.0,3887,LightGBM,92210.5
random_search,9,3154.6207667859285,1.0,5000,LightGBM,92210.5
genetic_algorithm,9,2948.277218404152,1.0,3939,LightGBM,92210.5
